"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","45.9484mm","37.1808mm","45.9484mm","37.1808mm","45.9484mm","35.6183mm","T","90","1uF",
"C2","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","21.92mm","4.4656mm","21.92mm","4.4656mm","21.92mm","3.6031mm","T","90","10nF",
"C3","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","52.2476mm","17.064mm","52.2476mm","17.064mm","53.1101mm","17.064mm","T","180","1nF",
"C4","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","48.4376mm","37.1797mm","48.4376mm","37.1797mm","48.4376mm","38.7422mm","T","-90","1uF",
"C5","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","46.304mm","32.6596mm","46.304mm","32.6596mm","46.304mm","33.5221mm","T","-90","0.1uF",
"C6","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","48.844mm","32.7093mm","48.844mm","32.7093mm","48.844mm","31.8468mm","T","90","0.1uF",
"C7","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","44.78mm","32.6596mm","44.78mm","32.6596mm","44.78mm","33.5221mm","T","-90","1uF",
"C9","CP_Elec_8x10.5","38.05mm","5.55mm","38.05mm","5.55mm","41.75mm","5.55mm","T","180","C_Polarized_US",
"C11","CP_Elec_8x10.5","38.05mm","40.8mm","38.05mm","40.8mm","41.75mm","40.8mm","T","180","C_Polarized_US",
"C19","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","16.5352mm","4.418mm","16.5352mm","4.418mm","16.5352mm","3.5555mm","T","90","10nF",
"C27","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","24.714mm","13.254mm","24.714mm","13.254mm","25.5765mm","13.254mm","T","180","0.1uF",
"C28","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","21.3104mm","13.254mm","21.3104mm","13.254mm","20.4479mm","13.254mm","T","0","10nF",
"C31","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","27.1016mm","18.8928mm","27.1016mm","18.8928mm","27.1016mm","17.3303mm","T","90","1uF",
"C32","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","29.1844mm","12.1364mm","29.1844mm","12.1364mm","29.1844mm","12.9989mm","T","-90","1uF",
"C33","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","30.81mm","12.1364mm","30.81mm","12.1364mm","30.81mm","12.9989mm","T","-90","470pF",
"C34","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","37.922mm","18.1308mm","37.922mm","18.1308mm","37.922mm","17.2683mm","T","90","22nF",
"C35","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","37.8712mm","12.746mm","37.8712mm","12.746mm","37.8712mm","13.6085mm","T","-90","10nF",
"C36","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","37.0076mm","20.62mm","37.0076mm","20.62mm","37.8701mm","20.62mm","T","180","330pF",
"C37","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","30.048mm","20.62mm","30.048mm","20.62mm","30.9105mm","20.62mm","T","180","470n",
"C40","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","20.8278mm","10.6886mm","20.8278mm","10.6886mm","20.8278mm","11.5511mm","T","-90","22pF",
"D1","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","48.6408mm","9.9012mm","48.6408mm","9.9012mm","48.6408mm","10.9262mm","T","-90","LED",
"D2","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","46.558mm","9.8922mm","46.558mm","9.8922mm","46.558mm","10.9172mm","T","-90","LED",
"D3","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","19.2276mm","3.7544mm","19.2276mm","3.7544mm","18.2026mm","3.7544mm","T","0","LED",
"D4","DIO_LL4148-13","16.6622mm","10.1044mm","16.6622mm","10.1044mm","18.6122mm","10.1044mm","T","180","BZM55Bxx",
"D5","DIO_LL4148-13","16.6622mm","12.4158mm","16.6622mm","12.4158mm","18.6122mm","12.4158mm","T","180","BZM55Bxx",
"D6","D_SMB_Handsoldering","41.1224mm","16.6576mm","41.1224mm","16.6576mm","41.1224mm","19.3576mm","T","-90","1N5711",
"L1","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","30.7338mm","8.301mm","30.7338mm","8.301mm","29.6963mm","8.301mm","T","0","L",
"L2","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","26.4881mm","33.574mm","26.4881mm","33.574mm","25.4506mm","33.574mm","T","0","L",
"L3","L_12x12mm_H8mm","35.6614mm","28.5956mm","35.6614mm","28.5956mm","40.6114mm","28.5956mm","T","180","INDUCTOR",
"R1","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","51.9428mm","35.098mm","51.9428mm","35.098mm","51.9428mm","38.148mm","T","-90","20m",
"R2","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","46.304mm","13.6585mm","46.304mm","13.6585mm","46.304mm","12.746mm","T","90","330",
"R4","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","48.8948mm","13.6585mm","48.8948mm","13.6585mm","48.8948mm","12.746mm","T","90","330",
"R5","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","19.2276mm","5.5832mm","19.2276mm","5.5832mm","18.3151mm","5.5832mm","T","0","10K",
"R6","R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","51.892mm","11.3236mm","51.892mm","11.3236mm","51.892mm","8.2736mm","T","90","20m",
"R7","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","8.7374mm","11.7535mm","8.7374mm","11.7535mm","8.7374mm","10.841mm","T","90","10K",
"R8","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","12.3696mm","11.7808mm","12.3696mm","11.7808mm","12.3696mm","10.8683mm","T","90","10K",
"R9","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","17.3988mm","33.193mm","17.3988mm","33.193mm","16.4863mm","33.193mm","T","0","10K",
"R10","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","19.9388mm","34.1074mm","19.9388mm","34.1074mm","19.9388mm","33.1949mm","T","90","10K",
"R11","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","22.4299mm","33.193mm","22.4299mm","33.193mm","21.5174mm","33.193mm","T","0","10K",
"R12","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","27.508mm","14.6256mm","27.508mm","14.6256mm","27.508mm","15.5381mm","T","-90","21k",
"R13","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","32.4356mm","12.1383mm","32.4356mm","12.1383mm","32.4356mm","11.2258mm","T","90","21k",
"R14","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","33.4516mm","20.62mm","33.4516mm","20.62mm","32.5391mm","20.62mm","T","0","10",
"R15","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","34.9248mm","13.0508mm","34.9248mm","13.0508mm","34.0123mm","13.0508mm","T","0","5.11K",
"R16","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","34.9248mm","11.222mm","34.9248mm","11.222mm","35.8373mm","11.222mm","T","180","1.65K",
"U2","ESP-12E","12.2172mm","23.175mm","12.2172mm","23.175mm","8.7172mm","15.575mm","T","90","ESP-12F",
"U3","SOIC127P599X175-8N","60.0mm","36.35mm","60.0mm","36.35mm","57.53mm","38.255mm","T","0","CSD88537ND",
"U4","SOIC127P599X175-8N","60.0mm","27.566667mm","60.0mm","27.566667mm","57.53mm","29.471667mm","T","0","CSD88537ND",
"U5","SOP65P640X120-17N","32.6896mm","16.7592mm","32.6896mm","16.7592mm","29.8196mm","19.0342mm","T","0","LM5575MH",
"U6","SOIC127P599X175-8N","60.0mm","18.783334mm","60.0mm","18.783334mm","57.53mm","20.688334mm","T","0","CSD88537ND",
"U7","SOIC127P599X175-8N","60.0mm","10.0mm","60.0mm","10.0mm","57.53mm","11.905mm","T","0","CSD88537ND",
"U8","SOT94P279X129-5N","23.7234mm","10.5859mm","23.7234mm","10.5859mm","24.9434mm","9.6459mm","T","180","RT9193-33GB",
"SW1","KEY-SMD_4P-L5.2-W5.2","26.5mm","4.618mm","26.5mm","4.618mm","29.167mm","2.586mm","T","0","轻触开关",
"SW2","KEY-SMD_4P-L5.2-W5.2","11.76mm","4.618mm","11.76mm","4.618mm","14.427mm","2.586mm","T","0","轻触开关",
"G***","wifi","16.217383mm","13.72886mm","16.217383mm","13.72886mm","16.217383mm","13.72886mm","T","90","LOGO",
"G***","logo1","3.9876mm","11.73mm","3.9876mm","11.73mm","3.9876mm","11.73mm","T","0","LOGO",
"C12","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","64.9476mm","4.0461mm","64.9476mm","4.0461mm","64.9476mm","5.6086mm","B","-90","1nF",
"C14","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","34.4mm","34.1mm","34.4mm","34.1mm","32.8375mm","34.1mm","B","0","1nF",
"C15","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","60.5788mm","42.4386mm","60.5788mm","42.4386mm","60.5788mm","40.8761mm","B","90","1nF",
"C16","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","28.2625mm","36.45mm","28.2625mm","36.45mm","29.825mm","36.45mm","B","180","1nF",
